transaction_id,user_id,amount,hour,device_risk_score,ip_risk_score,transaction_type,merchant_category,country,is_fraud
1,15734,8.58,8,0.7242,0.4048,transfer,travel,NL,0
2,57894,111.15,13,0.3441,0.176,purchase,retail,FR,0
3,98999,116.2,10,0.149,0.112,purchase,grocery,DE,0
4,74554,28.41,21,0.2337,0.2565,purchase,retail,FR,0
5,39642,474.08,9,0.4254,0.1561,purchase,travel,NL,0
6,76742,35.36,18,0.4088,0.4095,purchase,retail,NL,0
7,82110,52.23,20,0.1264,0.3987,purchase,electronics,DE,0
8,68015,16.04,16,0.0987,0.1342,purchase,grocery,GB,0
9,29165,72.18,8,0.1041,0.2662,purchase,grocery,US,0
10,57529,10.54,9,0.0509,0.0318,purchase,electronics,RU,0
11,31761,38.44,22,0.1821,0.0675,purchase,grocery,US,0
12,73269,38.33,5,0.4031,0.2874,purchase,grocery,DE,0
13,11822,35.53,7,0.3522,0.3825,withdrawal,grocery,FR,0
14,86189,53.6,22,0.1307,0.0438,purchase,grocery,DE,0
15,53512,24.48,17,0.0866,0.0718,refund,retail,GB,0
16,90753,211.21,16,0.1441,0.0152,transfer,retail,US,0
17,96135,48.74,7,0.2088,0.1327,withdrawal,grocery,FR,0
18,48610,72.5,18,0.5718,0.7292,purchase,gaming,CN,1
19,90617,349.61,12,0.2327,0.1618,withdrawal,retail,DE,0
20,74077,50.28,18,0.1961,0.2202,transfer,travel,FR,0
21,52592,99.73,10,0.1462,0.2813,purchase,retail,DE,0
22,46354,69.38,8,0.5072,0.7476,transfer,travel,DE,0
23,89955,61.91,0,0.5537,0.331,purchase,retail,DE,0
24,87487,79.49,14,0.5786,0.0385,transfer,grocery,DE,0
25,88170,9.02,9,0.1455,0.0022,purchase,electronics,US,0
26,84771,9.31,19,0.1102,0.0315,purchase,retail,DE,0
27,94739,39.86,9,0.1217,0.1485,withdrawal,electronics,DE,0
28,77783,131.86,0,0.5259,0.8675,withdrawal,crypto,DE,1
29,37025,35.94,7,0.4462,0.1781,purchase,grocery,DE,0
30,54046,32.07,22,0.3207,0.5612,withdrawal,crypto,GB,1
31,11808,128.49,20,0.2082,0.5821,purchase,travel,RU,1
32,58423,69.61,22,0.287,0.052,purchase,electronics,FR,0
33,30367,43.25,22,0.0441,0.0808,withdrawal,electronics,DE,0
34,82075,69.73,15,0.2897,0.2127,refund,retail,DE,0
35,89876,14.75,20,0.4083,0.064,transfer,retail,US,0
36,14328,42.13,7,0.337,0.4353,purchase,crypto,NL,0
37,59920,13.6,11,0.0696,0.2564,purchase,retail,DE,0
38,61086,59.08,8,0.2289,0.0309,purchase,retail,DE,0
39,72649,8.61,12,0.1175,0.0408,purchase,retail,DE,0
40,31599,57.17,17,0.1224,0.3675,purchase,retail,FR,0
41,10900,12.2,18,0.102,0.1553,purchase,travel,DE,0
42,64266,30.69,0,0.0144,0.3709,transfer,retail,DE,0
43,31439,374.99,11,0.1852,0.4893,purchase,crypto,US,0
44,52887,51.59,23,0.1509,0.1742,purchase,grocery,GB,0
45,77699,10.5,13,0.8446,0.5826,purchase,travel,DE,0
46,67414,72.76,9,0.2725,0.0381,transfer,retail,GB,0
47,90935,11.87,11,0.3637,0.3129,purchase,travel,FR,0
48,18465,10.07,10,0.0182,0.2302,purchase,retail,GB,0
49,11033,46.99,11,0.3298,0.7996,purchase,gaming,FR,0
50,93382,68.46,11,0.0825,0.1728,transfer,electronics,GB,0
51,87971,61.84,12,0.4105,0.6274,purchase,retail,NL,0
52,62513,109.18,3,0.3901,0.2012,purchase,crypto,GB,1
53,87611,70.97,12,0.3215,0.2476,refund,grocery,NL,0
54,36494,42.09,12,0.1837,0.2212,purchase,grocery,US,0
55,96105,110.28,1,0.8902,0.6878,purchase,grocery,US,0
56,81712,17.08,4,0.0149,0.1139,purchase,electronics,FR,0
57,45329,29.25,10,0.2914,0.1117,purchase,gaming,NL,0
58,71416,13.83,19,0.1684,0.2007,purchase,grocery,DE,0
59,32356,122.89,17,0.0505,0.102,purchase,travel,NL,0
60,50319,45.86,6,0.1136,0.1153,purchase,retail,DE,0
61,52203,38.47,12,0.0403,0.304,purchase,retail,NL,0
62,35093,575.37,14,0.2697,0.1643,refund,retail,US,0
63,35356,13.55,12,0.1242,0.2272,purchase,retail,FR,0
64,38781,38.23,15,0.2221,0.2442,transfer,electronics,NL,0
65,70291,12.68,23,0.3548,0.1758,transfer,retail,DE,0
66,14595,30.58,6,0.0678,0.2054,purchase,travel,US,0
67,54047,31.66,12,0.0173,0.2502,purchase,retail,FR,0
68,44610,87.2,12,0.0219,0.0903,transfer,electronics,FR,0
69,85813,15.65,10,0.7847,0.7134,purchase,retail,US,1
70,56131,29.01,13,0.1931,0.0509,purchase,travel,DE,0
71,67914,36.14,8,0.3921,0.3565,purchase,grocery,DE,0
72,85775,29.5,14,0.2458,0.2842,purchase,electronics,DE,0
73,88682,12.92,3,0.1012,0.1736,purchase,travel,FR,0
74,68266,24.43,16,0.1421,0.1069,purchase,electronics,DE,0
75,66105,470.85,4,0.6046,0.6199,purchase,electronics,CN,1
76,29583,30.73,15,0.024,0.2932,purchase,travel,NL,0
77,20413,45.27,10,0.0924,0.2231,purchase,retail,DE,0
78,96731,68.38,23,0.4438,0.0993,refund,grocery,NL,0
79,40836,34.83,18,0.1516,0.0256,withdrawal,grocery,FR,0
80,29939,34.32,13,0.2303,0.064,transfer,electronics,DE,0
81,51077,9.85,23,0.5397,0.1998,purchase,retail,FR,0
82,65603,67.27,18,0.071,0.3184,purchase,retail,FR,0
83,26352,23.53,7,0.2419,0.251,refund,retail,DE,0
84,39558,80.24,14,0.1492,0.1749,transfer,grocery,FR,0
85,76739,343.01,22,0.2757,0.67,purchase,electronics,DE,1
86,20981,130.19,13,0.1011,0.1043,purchase,retail,NL,0
87,50708,198.82,15,0.0803,0.1241,purchase,travel,GB,0
88,84104,17.82,21,0.269,0.5833,purchase,retail,US,0
89,35082,41.92,12,0.0161,0.1009,purchase,retail,GB,0
90,63028,57.19,5,0.0321,0.1673,purchase,retail,FR,0
91,85549,32.52,12,0.0548,0.082,refund,grocery,DE,0
92,57227,26.33,17,0.2627,0.2712,purchase,retail,FR,0
93,41411,68.65,10,0.3441,0.8357,withdrawal,retail,RU,0
94,37038,64.91,1,0.3841,0.7718,purchase,retail,CN,0
95,83273,31.68,9,0.3434,0.0982,purchase,electronics,GB,0
96,80100,10.42,15,0.0281,0.2655,purchase,retail,DE,0
97,83853,62.67,6,0.34,0.4961,purchase,retail,DE,0
98,86753,22.15,10,0.1743,0.2687,purchase,retail,RU,0
99,48180,51.02,7,0.1167,0.4201,purchase,retail,US,0
100,85291,48.35,12,0.0232,0.0672,transfer,retail,FR,0
101,17796,8.54,7,0.1532,0.1047,purchase,grocery,FR,0
102,16517,45.55,6,0.0442,0.6154,purchase,electronics,DE,0
103,54440,40.02,6,0.7076,0.5171,withdrawal,electronics,DE,1
